is_fire,lng,lat,date,time,soil_type:idx_0h,soil_type:idx_1h,soil_type:idx_2h,soil_type:idx_3h,soil_type:idx_4h
0,1.577149436283321,-16.687102450868082,20220101,01,-666,-666,-666,-666,-666
0,-28.77833466164228,10.880048877985772,20220101,10,-666,-666,-666,-666,-666
0,-160.1166061902099,59.66054736851075,20220101,12,1,1,1,1,1
0,-173.6286544654073,-66.41514877050045,20220101,04,-666,-666,-666,-666,-666
0,-48.66406086088563,-24.33822104098398,20220101,22,4,4,4,4,4
0,-34.44525645413853,-64.50692093775646,20220101,15,-666,-666,-666,-666,-666
0,142.84180364990624,-51.26440414254772,20220101,04,-666,-666,-666,-666,-666
0,28.241192179643207,22.299559854169487,20220101,14,2,2,2,2,2
0,-113.7763028669257,64.56421006729292,20220101,21,2,2,2,2,2
0,-121.56898898431932,8.117955603460459,20220101,19,-666,-666,-666,-666,-666
0,-131.4692680945997,-1.1357224424781407,20220101,22,-666,-666,-666,-666,-666
0,16.176317291108717,-84.98550316594901,20220101,06,1,1,1,1,1
0,-44.13476594246285,-54.73217075393446,20220101,06,-666,-666,-666,-666,-666
0,125.32188733146904,-41.33954748212705,20220101,00,-666,-666,-666,-666,-666
0,54.72082446077437,-54.09984480109566,20220101,17,-666,-666,-666,-666,-666
0,19.310641170139743,-72.0594036253818,20220101,12,1,1,1,1,1
0,-23.237414147514244,-61.827389789044446,20220101,17,-666,-666,-666,-666,-666
0,78.82385976386291,-7.523397734588741,20220101,03,-666,-666,-666,-666,-666
0,45.11088664654699,-54.15826800920222,20220101,10,-666,-666,-666,-666,-666
0,-179.12405442245154,-34.39904248813137,20220101,14,-666,-666,-666,-666,-666
0,136.0723364391235,-54.79781317556228,20220101,13,-666,-666,-666,-666,-666
0,-133.0524595766793,54.02534094115086,20220101,10,-666,-666,-666,-666,-666
0,88.54084543569928,79.97782517411804,20220101,16,-666,-666,-666,-666,-666
0,25.231770870158925,75.265783276154,20220101,04,-666,-666,-666,-666,-666
0,145.12849431972018,10.95408169906645,20220101,07,-666,-666,-666,-666,-666
0,-0.2521188791299096,-76.06272167323488,20220101,22,1,1,1,1,1
0,-78.98536826191598,89.05286591391854,20220101,08,-666,-666,-666,-666,-666
0,-148.62598679068074,3.7665915364570415,20220101,20,-666,-666,-666,-666,-666
